GGXWDN_NGDP	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020
Peru	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	37.244	36.647	37.779	38.340	34.653	31.651	23.974	16.743	13.009	12.229	10.263	7.151	4.543	3.478	3.587	5.324	7.258	8.681	9.440	9.844	10.084
Philippines																																									
Poland	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.383	-1.287	0.068	1.434	6.346	6.918	13.900	13.351	17.568	15.101	15.841	14.918	10.131	9.906	14.705	19.657	26.694	24.792	28.727	24.152	26.121	27.057	28.153	28.688	28.722	28.786
Portugal	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	46.354	42.462	41.560	41.498	45.809	47.278	50.117	52.043	56.155	56.658	61.427	67.194	79.293	91.625	100.683	115.421	119.050	120.278	120.593	118.014	117.298	116.864	116.349	115.457
Qatar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.131	14.217	9.161	32.856	39.713	38.234	43.129	39.649	55.318	62.273	46.950	51.522	35.072	3.400	-4.673	-11.816	-17.208	-22.191	-32.982	-32.005	-29.460	-41.759	-60.276	-84.417	-105.769	-118.520	-114.746	-103.281	-96.319	-90.692	-86.565
Romania																																									
Russia																																									
Rwanda																																									
Samoa																																									
San Marino																																									
São Tomé and Príncipe																																									
Saudi Arabia	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	36.031	43.765	53.653	62.142	67.981	68.859	70.231	92.955	94.300	79.384	85.595	89.041	74.506	52.747	17.738	1.819	-16.089	-42.188	-43.435	-41.844	-41.921	-51.518	-56.656	-54.188	-41.351	-20.192	-0.214	16.829	31.258	44.133
Senegal																																									
Serbia	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	222.463	104.457	72.558	67.920	58.582	49.241	32.391	26.966	28.805	30.783	38.905	40.983	52.121	53.121	67.930	72.245	74.461	73.528	70.829	68.168	65.193
